action,freq,pr_yr,pr_mt
closed,63744,2012,7
closed,55677,2012,6
closed,62907,2012,11
closed,13084,2011,6
closed,120728,2013,4
closed,19850,2011,10
closed,61814,2012,9
closed,130383,2013,7
closed,155990,2013,12
closed,98410,2013,2
closed,62937,2012,10
closed,36030,2012,1
closed,19135,2011,9
closed,14492,2011,7
closed,734777,2016,3
closed,851943,2017,5
closed,223946,2014,6
closed,500264,2015,11
closed,334053,2015,1
closed,141366,2013,8
closed,21967,2011,11
closed,169511,2013,11
closed,716253,2016,5
closed,163837,2014,5
closed,226622,2014,3
closed,190990,2014,2
closed,388433,2015,3
closed,407091,2015,4
closed,522303,2015,10
closed,417601,2015,6
closed,439084,2016,6
closed,215037,2016,7
closed,594765,2016,12
closed,778514,2017,2
closed,861506,2017,6
closed,815379,2016,10
closed,574516,2016,1
merged,32007,2012,3
merged,5048,2011,4
merged,35440,2012,5
merged,3325,2011,2
merged,59847,2013,1
merged,90073,2013,7
merged,96238,2013,8
merged,39071,2012,9
merged,646159,2016,11
merged,101758,2016,3
merged,24187,2014,6
merged,136293,2014,1
merged,75717,2014,2
merged,121844,2013,11
merged,45231,2012,11
merged,306829,2015,8
merged,84947,2015,12
merged,152674,2016,7
merged,49307,2015,4
merged,327925,2015,9
merged,7,2010,8
merged,662408,2016,10
merged,83588,2016,1
merged,721335,2017,4
merged,10,2010,6
opened,24330,2011,11
opened,10857,2011,4
opened,58909,2012,6
opened,76794,2012,12
opened,52951,2012,3
opened,124811,2013,4
opened,8054,2011,2
opened,129544,2013,5
opened,21086,2011,9
opened,96394,2013,1
opened,787174,2016,9
opened,187865,2014,5
opened,526545,2015,11
opened,1015599,2017,3
opened,137131,2013,7
opened,116921,2013,3
opened,189131,2014,1
opened,4666,2010,9
opened,278528,2016,7
opened,254956,2014,7
opened,311741,2014,10
opened,688065,2016,2
opened,420478,2015,4
opened,478981,2015,9
opened,793697,2016,4
reopened,11364,2016,3
reopened,15168,2017,3
reopened,11292,2016,5
reopened,13245,2016,11
reopened,905,2012,5
reopened,8868,2016,1
reopened,4845,2014,10
reopened,3080,2014,2
reopened,852,2012,4
reopened,885,2012,6
reopened,713,2012,8
reopened,271,2012,1
reopened,472,2012,2
reopened,4206,2014,11
reopened,10221,2016,8
reopened,1545,2013,2
reopened,4368,2014,12
reopened,9370,2015,10
reopened,2729,2014,1
synchronize,17589,2012,6
synchronize,42842,2012,5
synchronize,25223,2012,7
opened,25,2010,6
closed,57024,2012,5
closed,17689,2011,8
closed,23000,2011,12
closed,9578,2011,4
closed,73177,2012,12
closed,53004,2012,4
closed,168110,2013,10
closed,6995,2011,2
closed,794187,2017,1
closed,803609,2016,11
closed,938456,2017,3
closed,120228,2013,6
closed,125344,2013,5
closed,294373,2014,10
closed,5076,2010,12
closed,237472,2014,7
closed,506546,2015,12
closed,263666,2014,11
closed,258346,2014,9
closed,656052,2016,8
closed,12,2010,8
